file_nm,title,file_url,video_length,age_group,strength,muscularEndurance,cardiovascularEndurance,flexibility,agility,power,equipment
0AUDLJ08S_00507.mp4,누워서 머리 위로 팔꿈치 펴기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00507.mp4,71,공통,1.0,0.0,0.0,0.0,0.0,0.0,"['덤벨', '바벨']"
0AUDLJ08S_00508.mp4,허기 굽혀 덤벨 위로 들기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00508.mp4,62,공통,1.0,0.0,0.0,0.0,0.0,0.0,['덤벨']
0AUDLJ08S_00509.mp4,덤벨 옆으로 들어올리기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00509.mp4,54,공통,1.0,0.0,0.0,0.0,0.0,0.0,['덤벨']
0AUDLJ08S_00510.mp4,손목 펴기/굽히기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00510.mp4,68,공통,1.0,0.0,0.0,0.0,0.0,0.0,['아령']
0AUDLJ08S_00511.mp4,앉아서 팔꿈치 굽히기/펴기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00511.mp4,69,공통,1.0,0.0,0.0,0.0,0.0,0.0,['아령']
0AUDLJ08S_00512.mp4,서서 균형잡기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00512.mp4,68,공통,1.0,0.0,0.0,0.0,0.0,0.0,['보슈']
0AUDLJ08S_00513.mp4,엎드려서 균형잡기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00513.mp4,92,공통,1.0,0.0,0.0,0.0,0.0,0.0,['보슈']
0AUDLJ08S_00514.mp4,윗몸 말아 올리기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00514.mp4,72,공통,1.0,0.0,0.0,0.0,0.0,0.0,['보슈']
0AUDLJ08S_00515.mp4,엎드려서 다리 차올리기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00515.mp4,76,공통,1.0,0.0,0.0,0.0,0.0,0.0,['보슈']
0AUDLJ08S_00516.mp4,서서 균형 잡으며 몸통 회전하기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00516.mp4,52,공통,1.0,0.0,0.0,0.0,0.0,0.0,['보슈']
0AUDLJ08S_00517.mp4,짝운동,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00517.mp4,66,공통,1.0,0.0,0.0,0.0,0.0,0.0,['보슈']
0AUDLJ08S_00518.mp4,서서 상체 일으키기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00518.mp4,66,공통,1.0,0.0,0.0,0.0,0.0,0.0,"['물병', '밴드']"
0AUDLJ08S_00519.mp4,앉았다 일어서기-1,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00519.mp4,69,공통,1.0,0.0,0.0,0.0,0.0,0.0,['짐볼']
0AUDLJ08S_00520.mp4,의자 앞에서 앉았다 일어서기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00520.mp4,62,공통,1.0,0.0,0.0,0.0,0.0,0.0,['의자']
0AUDLJ08S_00521.mp4,한발 앞으로 내밀고 앉았다 일어서기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00521.mp4,69,공통,1.0,0.0,0.0,0.0,0.0,0.0,"['물통', '밴드']"
0AUDLJ08S_00522.mp4,의자에 한 다리 올리고 앉았다 일어서기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00522.mp4,57,공통,1.0,0.0,0.0,0.0,0.0,0.0,['의자']
0AUDLJ08S_00523.mp4,의자에 앉아 다리 뻗어 올리기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00523.mp4,70,공통,1.0,0.0,0.0,0.0,0.0,0.0,"['매트', '의자']"
0AUDLJ08S_00524.mp4,앉아서 엉덩관절 굽히기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00524.mp4,68,공통,1.0,0.0,0.0,0.0,0.0,0.0,"['소파', '의자', '짐볼']"
0AUDLJ08S_00525.mp4,서서 다리 뒤로차기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00525.mp4,61,공통,1.0,0.0,0.0,0.0,0.0,0.0,"['의자', '테이블']"
0AUDLJ08S_00526.mp4,서서 다리로 탄력밴드 당기기Ⅰ,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00526.mp4,71,공통,1.0,0.0,0.0,0.0,0.0,0.0,['밴드']
0AUDLJ08S_00527.mp4,서서 다리로 턴력밴드 당기기Ⅱ,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00527.mp4,76,공통,1.0,0.0,0.0,0.0,0.0,0.0,['밴드']
0AUDLJ08S_00528.mp4,서서 뒤꿈치 들기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00528.mp4,57,공통,1.0,0.0,0.0,0.0,0.0,0.0,"['밴드', '의자', '짐볼']"
0AUDLJ08S_00529.mp4,한발 서서 균형잡기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00529.mp4,59,공통,1.0,0.0,0.0,0.0,0.0,0.0,['의자']
0AUDLJ08S_00530.mp4,방등 굽힘/발바닥 굽힘,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00530.mp4,83,공통,1.0,0.0,0.0,0.0,0.0,0.0,['수건']
0AUDLJ08S_00531.mp4,누워서 배가로근 수축Ⅰ,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00531.mp4,67,공통,1.0,0.0,0.0,0.0,0.0,0.0,['매트']
0AUDLJ08S_00532.mp4,누워서 배가로근 수축Ⅱ,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00532.mp4,86,공통,1.0,0.0,0.0,0.0,0.0,0.0,['매트']
0AUDLJ08S_00533.mp4,윗몸 올리기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00533.mp4,72,공통,1.0,0.0,0.0,0.0,0.0,0.0,['매트']
