trng_mscl_nm,rptt_tcnt_nm,file_url,vdo_desc,file_sz,fps_cnt,row_num,resolution,tool_nm,aggrp_nm,frme_no,ecrg_cycl_nm,img_file_nm,trng_mscl_zn_nm,fbctn_yr,trng_plc_nm,vdo_len,trng_mscl_part,lang,trng_nm,job_ymd,trng_mscl_class,vdo_ttl_nm,snap_tm,trng_hr_nm,file_type_nm,file_nm,trng_mscl_eng_nm,img_file_url,img_file_sn,data_type,set_cnt_nm
"큰볼기근,넙다리두갈래근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 엎드려서 다리 구부리기운동을 설명한 운동처방 동영상",12780471,29.96,886,1280*720,밴드,공통,436,,0AUDLJ08S_00280_SC_00003.jpeg,"대둔근,대퇴이두근",2021,실내,78,"엉덩이,뒤쪽 넓적다리",한국어,밴드 걸고 엎드려서 다리 구부리기,20220929,"골반의 근,하지의 근",밴드 걸고 엎드려서 다리 구부리기,14.547,,mp4,0AUDLJ08S_00280.mp4,"Gluteus Maximus,Biceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00280/,3,동영상,
"큰볼기근,넙다리두갈래근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 엎드려서 다리 구부리기운동을 설명한 운동처방 동영상",12780471,29.96,887,1280*720,밴드,공통,552,,0AUDLJ08S_00280_SC_00004.jpeg,"대둔근,대퇴이두근",2021,실내,78,"엉덩이,뒤쪽 넓적다리",한국어,밴드 걸고 엎드려서 다리 구부리기,20220929,"골반의 근,하지의 근",밴드 걸고 엎드려서 다리 구부리기,18.418,,mp4,0AUDLJ08S_00280.mp4,"Gluteus Maximus,Biceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00280/,4,동영상,
"큰볼기근,넙다리두갈래근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 엎드려서 다리 구부리기운동을 설명한 운동처방 동영상",12780471,29.96,888,1280*720,밴드,공통,842,,0AUDLJ08S_00280_SC_00005.jpeg,"대둔근,대퇴이두근",2021,실내,78,"엉덩이,뒤쪽 넓적다리",한국어,밴드 걸고 엎드려서 다리 구부리기,20220929,"골반의 근,하지의 근",밴드 걸고 엎드려서 다리 구부리기,28.094,,mp4,0AUDLJ08S_00280.mp4,"Gluteus Maximus,Biceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00280/,5,동영상,
"큰볼기근,넙다리두갈래근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 엎드려서 다리 구부리기운동을 설명한 운동처방 동영상",12780471,29.96,889,1280*720,밴드,공통,1161,,0AUDLJ08S_00280_SC_00006.jpeg,"대둔근,대퇴이두근",2021,실내,78,"엉덩이,뒤쪽 넓적다리",한국어,밴드 걸고 엎드려서 다리 구부리기,20220929,"골반의 근,하지의 근",밴드 걸고 엎드려서 다리 구부리기,38.738,,mp4,0AUDLJ08S_00280.mp4,"Gluteus Maximus,Biceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00280/,6,동영상,
"큰볼기근,넙다리두갈래근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 엎드려서 다리 구부리기운동을 설명한 운동처방 동영상",12780471,29.96,890,1280*720,밴드,공통,1480,,0AUDLJ08S_00280_SC_00007.jpeg,"대둔근,대퇴이두근",2021,실내,78,"엉덩이,뒤쪽 넓적다리",한국어,밴드 걸고 엎드려서 다리 구부리기,20220929,"골반의 근,하지의 근",밴드 걸고 엎드려서 다리 구부리기,49.382,,mp4,0AUDLJ08S_00280.mp4,"Gluteus Maximus,Biceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00280/,7,동영상,
"큰볼기근,넙다리두갈래근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 엎드려서 다리 구부리기운동을 설명한 운동처방 동영상",12780471,29.96,891,1280*720,밴드,공통,1741,,0AUDLJ08S_00280_SC_00009.jpeg,"대둔근,대퇴이두근",2021,실내,78,"엉덩이,뒤쪽 넓적다리",한국어,밴드 걸고 엎드려서 다리 구부리기,20220929,"골반의 근,하지의 근",밴드 걸고 엎드려서 다리 구부리기,58.091,,mp4,0AUDLJ08S_00280.mp4,"Gluteus Maximus,Biceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00280/,9,동영상,
"큰볼기근,넙다리두갈래근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 엎드려서 다리 구부리기운동을 설명한 운동처방 동영상",12780471,29.96,892,1280*720,밴드,공통,2002,,0AUDLJ08S_00280_SC_00010.jpeg,"대둔근,대퇴이두근",2021,실내,78,"엉덩이,뒤쪽 넓적다리",한국어,밴드 걸고 엎드려서 다리 구부리기,20220929,"골반의 근,하지의 근",밴드 걸고 엎드려서 다리 구부리기,66.8,,mp4,0AUDLJ08S_00280.mp4,"Gluteus Maximus,Biceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00280/,10,동영상,
"큰볼기근,넙다리두갈래근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 엎드려서 다리 구부리기운동을 설명한 운동처방 동영상",12780471,29.96,893,1280*720,밴드,공통,2263,,0AUDLJ08S_00280_SC_00011.jpeg,"대둔근,대퇴이두근",2021,실내,78,"엉덩이,뒤쪽 넓적다리",한국어,밴드 걸고 엎드려서 다리 구부리기,20220929,"골반의 근,하지의 근",밴드 걸고 엎드려서 다리 구부리기,75.508,,mp4,0AUDLJ08S_00280.mp4,"Gluteus Maximus,Biceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00280/,11,동영상,
"넙다리네갈래근,앞정강근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 누워서 다리 들어올리기운동을 설명한 운동처방 동영상",10016565,29.96,894,1280*720,밴드,공통,88,,0AUDLJ08S_00281_SC_00001.jpeg,"대퇴사두근,전경골근",2021,실내,63,"앞쪽 넓적다리,정강이",한국어,밴드 걸고 누워서 다리 들어올리기,20221111,"하지의 근,하지의 근",밴드 걸고 누워서 다리 들어올리기,2.936,,mp4,0AUDLJ08S_00281.mp4,"Quadriceps Femoris,Tibialis Anterior",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00281/,1,동영상,
노쪽 손목 폄근,,http://openapi.kspo.or.kr/web/video/,"소도구를 활용한 근육 완화 운동 중, 공을 활용한 운동처방 동영상",53242921,29.96,895,1280*720,테니스공,공통,5192,,0AUDLJ08S_01017_SC_00017.jpeg,요측수근신근,2021,실내,331,뒤쪽 아래팔,한국어,전완(외측),20221004,상지의 근,테니스공을 활용한 뭉친근육 완화 운동,173.239,,mp4,0AUDLJ08S_01017.mp4,Extensor Carpi Radialis,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_01017/,17,동영상,
"엉덩관절굽힘근,넙다리네갈래근,앞정강근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 누워서 다리 들어올리기운동을 설명한 운동처방 동영상",10016565,29.96,896,1280*720,밴드,공통,270,,0AUDLJ08S_00281_FR_00004.jpeg,"고관절굴곡근,대퇴사두근,전경골근",2021,실내,63,"앞쪽 골반,앞쪽 넓적다리,정강이",한국어,밴드 걸고 누워서 다리 들어올리기,20221019,"골반의 근,하지의 근,하지의 근",밴드 걸고 누워서 다리 들어올리기,9.009,,mp4,0AUDLJ08S_00281.mp4,"Hip Flexor,Quadriceps Femoris,Tibialis Anterior",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00281/,2,동영상,
