trng_mscl_nm,rptt_tcnt_nm,file_url,vdo_desc,file_sz,fps_cnt,ftns_lvl_nm,row_num,resolution,tool_nm,aggrp_nm,frme_no,ecrg_cycl_nm,img_file_nm,trng_mscl_zn_nm,fbctn_yr,nope_nm,trng_plc_nm,vdo_len,trng_mscl_part,lang,trng_nm,job_ymd,ftns_fctr_nm,trng_mscl_class,vdo_ttl_nm,snap_tm,trng_hr_nm,file_type_nm,file_nm,trng_mscl_eng_nm,img_file_url,img_file_sn,data_type,set_cnt_nm
"어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15438485,29.96,중급,11,1920*1080,,유소년,630,,0AUDLJ08S_00352_FR_00008.jpeg,"삼각근,상완삼두근",2019,1인 이상,실내,91,"바깥쪽 어깨,뒤쪽 위팔",한국어,누워서 뒤로 팔 굽혀 펴기,20220916,근력/근지구력,"상지의 근,상지의 근",누워서 뒤로 팔굽혀펴기,21.021,,mp4,0AUDLJ08S_00352.mp4,"Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,3,동영상,
"어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15438485,29.96,중급,12,1920*1080,,유소년,697,,0AUDLJ08S_00352_SC_00005.jpeg,"삼각근,상완삼두근",2019,1인 이상,실내,91,"바깥쪽 어깨,뒤쪽 위팔",한국어,누워서 뒤로 팔 굽혀 펴기,20220916,근력/근지구력,"상지의 근,상지의 근",누워서 뒤로 팔굽혀펴기,23.256,,mp4,0AUDLJ08S_00352.mp4,"Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,4,동영상,
"어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15438485,29.96,중급,13,1920*1080,,유소년,726,,0AUDLJ08S_00352_SC_00006.jpeg,"삼각근,상완삼두근",2019,1인 이상,실내,91,"바깥쪽 어깨,뒤쪽 위팔",한국어,누워서 뒤로 팔 굽혀 펴기,20220916,근력/근지구력,"상지의 근,상지의 근",누워서 뒤로 팔굽혀펴기,24.224,,mp4,0AUDLJ08S_00352.mp4,"Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,5,동영상,
"어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15438485,29.96,중급,14,1920*1080,,유소년,810,,0AUDLJ08S_00352_FR_00010.jpeg,"삼각근,상완삼두근",2019,1인 이상,실내,91,"바깥쪽 어깨,뒤쪽 위팔",한국어,누워서 뒤로 팔 굽혀 펴기,20220916,근력/근지구력,"상지의 근,상지의 근",누워서 뒤로 팔굽혀펴기,27.027,,mp4,0AUDLJ08S_00352.mp4,"Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,6,동영상,
"어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15438485,29.96,중급,15,1920*1080,,유소년,842,,0AUDLJ08S_00352_SC_00008.jpeg,"삼각근,상완삼두근",2019,1인 이상,실내,91,"바깥쪽 어깨,뒤쪽 위팔",한국어,누워서 뒤로 팔 굽혀 펴기,20220916,근력/근지구력,"상지의 근,상지의 근",누워서 뒤로 팔굽혀펴기,28.094,,mp4,0AUDLJ08S_00352.mp4,"Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,7,동영상,
"어깨세모근,위팔세갈래근",10~15,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15438485,29.96,중급,16,1920*1080,,유소년,929,2~3,0AUDLJ08S_00352_SC_00009.jpeg,"삼각근,상완삼두근",2019,1인 이상,실내,91,"바깥쪽 어깨,뒤쪽 위팔",한국어,누워서 뒤로 팔 굽혀 펴기,20220916,근력/근지구력,"상지의 근,상지의 근",누워서 뒤로 팔굽혀펴기,30.997,,mp4,0AUDLJ08S_00352.mp4,"Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,8,동영상,1~3
"어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15438485,29.96,중급,17,1920*1080,,유소년,958,,0AUDLJ08S_00352_SC_00010.jpeg,"삼각근,상완삼두근",2019,1인 이상,실내,91,"바깥쪽 어깨,뒤쪽 위팔",한국어,누워서 뒤로 팔 굽혀 펴기,20220916,근력/근지구력,"상지의 근,상지의 근",누워서 뒤로 팔굽혀펴기,31.965,,mp4,0AUDLJ08S_00352.mp4,"Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,9,동영상,
"어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15438485,29.96,중급,18,1920*1080,,유소년,1979,,0AUDLJ08S_00352_FR_00023.jpeg,"삼각근,상완삼두근",2019,1인 이상,실내,91,"바깥쪽 어깨,뒤쪽 위팔",한국어,누워서 뒤로 팔 굽혀 펴기,20220916,근력/근지구력,"상지의 근,상지의 근",누워서 뒤로 팔굽혀펴기,66.032,,mp4,0AUDLJ08S_00352.mp4,"Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,10,동영상,
"어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15438485,29.96,중급,19,1920*1080,,유소년,2350,,0AUDLJ08S_00352_SC_00023.jpeg,"삼각근,상완삼두근",2019,1인 이상,실내,91,"바깥쪽 어깨,뒤쪽 위팔",한국어,누워서 뒤로 팔 굽혀 펴기,20220916,근력/근지구력,"상지의 근,상지의 근",누워서 뒤로 팔굽혀펴기,78.411,,mp4,0AUDLJ08S_00352.mp4,"Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,11,동영상,
,,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 앉아서 엉덩이 들고 이동하기운동을 설명한 운동처방 가이드 동영상",16835752,24,중급,20,1920*1080,라바콘,유소년,145,,0AUDLJ08S_00353_FR_00003.jpeg,,2019,1인 이상,실내,99,,한국어,앉아서 엉덩이 들고 이동하기,20220921,근력/근지구력,,앉아서 엉덩이 들고 이동하기,6.041,,mp4,0AUDLJ08S_00353.mp4,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00353/,1,동영상,
"위팔세갈래근,자쪽손목굽힘근,넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 앉아서 엉덩이 들고 이동하기운동을 설명한 운동처방 가이드 동영상",16835752,24,중급,21,1920*1080,라바콘,유소년,1057,,0AUDLJ08S_00353_SC_00008.jpeg,"상완삼두근,척측수근굴근,대퇴사두근,대퇴이두근,비복근",2019,1인 이상,실내,99,"뒤쪽 위팔,앞쪽 아래팔,앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,앉아서 엉덩이 들고 이동하기,20220921,근력/근지구력,"상지의 근,상지의 근,하지의 근,하지의 근,하지의 근",앉아서 엉덩이 들고 이동하기,44.041,,mp4,0AUDLJ08S_00353.mp4,"Triceps Brachii,Flexor Carpi Ulnaris,Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00353/,2,동영상,
넓은등근,,http://openapi.kspo.or.kr/web/video/,청소년 근력/근지구력운동 루틴프로그램(웨이트 트레이닝)을 설명한 운동처방 가이드 동영상,44409731,29.97,3,22,960*540,헬스기구,청소년,2089,,0AUDLJ08S_01005_SC_00025.jpeg,광배근,2013,1인 이상,헬스장,263,등,한국어,앉아서 양팔 당기기-1,20220920,근력/근지구력,등과 허리의 근,근력·근지구력운동 루틴프로그램-1,69.702,,mp4,0AUDLJ08S_01005.mp4,Latissimus Dorsi,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_01005/,20,동영상,
"위팔세갈래근,자쪽손목굽힘근,넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 앉아서 엉덩이 들고 이동하기운동을 설명한 운동처방 가이드 동영상",16835752,24,중급,23,1920*1080,라바콘,유소년,1129,,0AUDLJ08S_00353_SC_00009.jpeg,"상완삼두근,척측수근굴근,대퇴사두근,대퇴이두근,비복근",2019,1인 이상,실내,99,"뒤쪽 위팔,앞쪽 아래팔,앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,앉아서 엉덩이 들고 이동하기,20220921,근력/근지구력,"상지의 근,상지의 근,하지의 근,하지의 근,하지의 근",앉아서 엉덩이 들고 이동하기,47.041,,mp4,0AUDLJ08S_00353.mp4,"Triceps Brachii,Flexor Carpi Ulnaris,Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00353/,3,동영상,
"위팔세갈래근,자쪽손목굽힘근,넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 앉아서 엉덩이 들고 이동하기운동을 설명한 운동처방 가이드 동영상",16835752,24,중급,24,1920*1080,라바콘,유소년,1369,,0AUDLJ08S_00353_FR_00020.jpeg,"상완삼두근,척측수근굴근,대퇴사두근,대퇴이두근,비복근",2019,1인 이상,실내,99,"뒤쪽 위팔,앞쪽 아래팔,앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,앉아서 엉덩이 들고 이동하기,20220921,근력/근지구력,"상지의 근,상지의 근,하지의 근,하지의 근,하지의 근",앉아서 엉덩이 들고 이동하기,57.041,,mp4,0AUDLJ08S_00353.mp4,"Triceps Brachii,Flexor Carpi Ulnaris,Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00353/,4,동영상,
"위팔세갈래근,자쪽손목굽힘근,넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 앉아서 엉덩이 들고 이동하기운동을 설명한 운동처방 가이드 동영상",16835752,24,중급,25,1920*1080,라바콘,유소년,2185,,0AUDLJ08S_00353_SC_00013.jpeg,"상완삼두근,척측수근굴근,대퇴사두근,대퇴이두근,비복근",2019,1인 이상,실내,99,"뒤쪽 위팔,앞쪽 아래팔,앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,앉아서 엉덩이 들고 이동하기,20220921,근력/근지구력,"상지의 근,상지의 근,하지의 근,하지의 근,하지의 근",앉아서 엉덩이 들고 이동하기,91.041,,mp4,0AUDLJ08S_00353.mp4,"Triceps Brachii,Flexor Carpi Ulnaris,Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00353/,5,동영상,
"볼기근,배곧은근,어깨세모근,넙다리네갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 엎드려 팔로 걷기운동을 설명한 운동처방 가이드 동영상",14437122,24,중급,26,1920*1080,,유소년,49,,0AUDLJ08S_00354_SC_00002.jpeg,"둔근,복직근,삼각근,대퇴사두근",2019,1인 이상,실내,84,"엉덩이,복부,바깥쪽 어깨,앞쪽 넓적다리",한국어,엎드려 팔로 걷기,20221005,근력/근지구력,"골반의 근,복부의 근,상지의 근,하지의 근",엎드려 팔로 걷기,2.041,,mp4,0AUDLJ08S_00354.mp4,"Gluteal,Rectus Abdominis,Deltoid,Quadriceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00354/,1,동영상,
"볼기근,배곧은근,어깨세모근,넙다리네갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 엎드려 팔로 걷기운동을 설명한 운동처방 가이드 동영상",14437122,24,중급,27,1920*1080,,유소년,289,,0AUDLJ08S_00354_FR_00005.jpeg,"둔근,복직근,삼각근,대퇴사두근",2019,1인 이상,실내,84,"엉덩이,복부,바깥쪽 어깨,앞쪽 넓적다리",한국어,엎드려 팔로 걷기,20221005,근력/근지구력,"골반의 근,복부의 근,상지의 근,하지의 근",엎드려 팔로 걷기,12.041,,mp4,0AUDLJ08S_00354.mp4,"Gluteal,Rectus Abdominis,Deltoid,Quadriceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00354/,2,동영상,
"볼기근,배곧은근,어깨세모근,넙다리네갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 엎드려 팔로 걷기운동을 설명한 운동처방 가이드 동영상",14437122,24,중급,28,1920*1080,,유소년,481,,0AUDLJ08S_00354_SC_00004.jpeg,"둔근,복직근,삼각근,대퇴사두근",2019,1인 이상,실내,84,"엉덩이,복부,바깥쪽 어깨,앞쪽 넓적다리",한국어,엎드려 팔로 걷기,20221005,근력/근지구력,"골반의 근,복부의 근,상지의 근,하지의 근",엎드려 팔로 걷기,20.041,,mp4,0AUDLJ08S_00354.mp4,"Gluteal,Rectus Abdominis,Deltoid,Quadriceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00354/,3,동영상,
"볼기근,배곧은근,어깨세모근,넙다리네갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 엎드려 팔로 걷기운동을 설명한 운동처방 가이드 동영상",14437122,24,중급,29,1920*1080,,유소년,865,,0AUDLJ08S_00354_FR_00013.jpeg,"둔근,복직근,삼각근,대퇴사두근",2019,1인 이상,실내,84,"엉덩이,복부,바깥쪽 어깨,앞쪽 넓적다리",한국어,엎드려 팔로 걷기,20221005,근력/근지구력,"골반의 근,복부의 근,상지의 근,하지의 근",엎드려 팔로 걷기,36.041,,mp4,0AUDLJ08S_00354.mp4,"Gluteal,Rectus Abdominis,Deltoid,Quadriceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00354/,4,동영상,
"볼기근,배곧은근,어깨세모근,넙다리네갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 엎드려 팔로 걷기운동을 설명한 운동처방 가이드 동영상",14437122,24,중급,30,1920*1080,,유소년,1081,,0AUDLJ08S_00354_FR_00016.jpeg,"둔근,복직근,삼각근,대퇴사두근",2019,1인 이상,실내,84,"엉덩이,복부,바깥쪽 어깨,앞쪽 넓적다리",한국어,엎드려 팔로 걷기,20221005,근력/근지구력,"골반의 근,복부의 근,상지의 근,하지의 근",엎드려 팔로 걷기,45.041,,mp4,0AUDLJ08S_00354.mp4,"Gluteal,Rectus Abdominis,Deltoid,Quadriceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00354/,5,동영상,
"볼기근,배곧은근,어깨세모근,넙다리네갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 엎드려 팔로 걷기운동을 설명한 운동처방 가이드 동영상",14437122,24,중급,31,1920*1080,,유소년,1441,,0AUDLJ08S_00354_FR_00021.jpeg,"둔근,복직근,삼각근,대퇴사두근",2019,1인 이상,실내,84,"엉덩이,복부,바깥쪽 어깨,앞쪽 넓적다리",한국어,엎드려 팔로 걷기,20221005,근력/근지구력,"골반의 근,복부의 근,상지의 근,하지의 근",엎드려 팔로 걷기,60.041,,mp4,0AUDLJ08S_00354.mp4,"Gluteal,Rectus Abdominis,Deltoid,Quadriceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00354/,6,동영상,
"볼기근,배곧은근,어깨세모근,넙다리네갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 엎드려 팔로 걷기운동을 설명한 운동처방 가이드 동영상",14437122,24,중급,32,1920*1080,,유소년,1777,,0AUDLJ08S_00354_SC_00019.jpeg,"둔근,복직근,삼각근,대퇴사두근",2019,1인 이상,실내,84,"엉덩이,복부,바깥쪽 어깨,앞쪽 넓적다리",한국어,엎드려 팔로 걷기,20221005,근력/근지구력,"골반의 근,복부의 근,상지의 근,하지의 근",엎드려 팔로 걷기,74.041,,mp4,0AUDLJ08S_00354.mp4,"Gluteal,Rectus Abdominis,Deltoid,Quadriceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00354/,7,동영상,
,,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 아령 앞으로 들어올리기운동을 설명한 운동처방 가이드 동영상",13177677,24,중급,33,1920*1080,아령,유소년,49,,0AUDLJ08S_00355_SC_00002.jpeg,,2019,1인 이상,실내,78,,한국어,아령 앞으로 들어올리기,20220921,근력/근지구력,,아령 앞으로 들어올리기,2.041,,mp4,0AUDLJ08S_00355.mp4,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00355/,1,동영상,
위팔두갈래근,,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 아령 앞으로 들어올리기운동을 설명한 운동처방 가이드 동영상",13177677,24,중급,34,1920*1080,아령,유소년,649,,0AUDLJ08S_00355_SC_00005.jpeg,상완이두근,2019,1인 이상,실내,78,앞쪽 위팔,한국어,아령 앞으로 들어올리기,20220921,근력/근지구력,상지의 근,아령 앞으로 들어올리기,27.041,,mp4,0AUDLJ08S_00355.mp4,Biceps Brachii,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00355/,2,동영상,
위팔두갈래근,,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 아령 앞으로 들어올리기운동을 설명한 운동처방 가이드 동영상",13177677,24,중급,35,1920*1080,아령,유소년,793,,0AUDLJ08S_00355_FR_00012.jpeg,상완이두근,2019,1인 이상,실내,78,앞쪽 위팔,한국어,아령 앞으로 들어올리기,20220921,근력/근지구력,상지의 근,아령 앞으로 들어올리기,33.041,,mp4,0AUDLJ08S_00355.mp4,Biceps Brachii,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00355/,3,동영상,
위팔두갈래근,,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 아령 앞으로 들어올리기운동을 설명한 운동처방 가이드 동영상",13177677,24,중급,36,1920*1080,아령,유소년,913,,0AUDLJ08S_00355_SC_00006.jpeg,상완이두근,2019,1인 이상,실내,78,앞쪽 위팔,한국어,아령 앞으로 들어올리기,20220921,근력/근지구력,상지의 근,아령 앞으로 들어올리기,38.041,,mp4,0AUDLJ08S_00355.mp4,Biceps Brachii,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00355/,4,동영상,
