trng_se_nm,file_url,vdo_desc,file_sz,trng_aim_nm,fps_cnt,row_num,resolution,tool_nm,aggrp_nm,frme_no,img_file_nm,fbctn_yr,nope_nm,vdo_len,lang,trng_nm,job_ymd,ftns_fctr_nm,vdo_ttl_nm,snap_tm,file_type_nm,file_nm,img_file_url,img_file_sn,data_type,trng_part_nm
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1213,1920*1080,짐볼,공통,14008,0AUDLJ08S_00050_SC_00129.jpeg,2021,1인 이상,1224,한국어,무릎 펴고 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,467.4,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,126,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1214,1920*1080,짐볼,공통,14095,0AUDLJ08S_00050_SC_00130.jpeg,2021,1인 이상,1224,한국어,무릎 펴고 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,470.303,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,127,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1215,1920*1080,짐볼,공통,14211,0AUDLJ08S_00050_SC_00131.jpeg,2021,1인 이상,1224,한국어,무릎 펴고 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,474.173,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,128,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1216,1920*1080,짐볼,공통,14269,0AUDLJ08S_00050_SC_00132.jpeg,2021,1인 이상,1224,한국어,무릎 펴고 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,476.108,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,129,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1217,1920*1080,짐볼,공통,14414,0AUDLJ08S_00050_SC_00133.jpeg,2021,1인 이상,1224,한국어,무릎 펴고 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,480.947,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,130,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1218,1920*1080,짐볼,공통,14443,0AUDLJ08S_00050_SC_00134.jpeg,2021,1인 이상,1224,한국어,무릎 펴고 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,481.914,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,131,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1219,1920*1080,짐볼,공통,14530,0AUDLJ08S_00050_SC_00135.jpeg,2021,1인 이상,1224,한국어,무릎 펴고 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,484.817,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,132,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1220,1920*1080,짐볼,공통,14675,0AUDLJ08S_00050_SC_00136.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,489.655,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,133,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1221,1920*1080,짐볼,공통,14733,0AUDLJ08S_00050_SC_00137.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,491.591,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,134,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1222,1920*1080,짐볼,공통,14820,0AUDLJ08S_00050_SC_00138.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,494.494,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,135,동영상,복근
